0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
7459,235,95,124,0,38,26,120,574,1202,159,1,93,0,0,0,513,19,65,11,45,47,202,64,410,1,16,4,5,31,141,69
233,32589,14,298,0,6,41,12,40,771,124,20,55,0,0,0,167,3,17,87,41,351,404,373,2,1,8,1,6,77,4,69
21,12,3931,33,1,5,40,3,4,36,98,0,15,0,0,0,17,0,0,15,1,23,1,0,3,0,1,13,2,10,0,1
161,158,22,8547,3,6,27,3,53,616,25,13,64,0,5,0,182,9,124,369,73,1094,0,21,17,0,33,8,6,91,7,31
3,2,2,8,144,2,4,0,1,11,0,0,4,0,0,0,4,0,0,3,0,3,0,0,0,0,2,0,0,7,0,1
51,12,10,23,0,1814,24,0,204,207,8,0,79,0,2,0,41,0,2,4,13,9,1,8,1,0,0,9,0,27,0,4
22,17,38,21,5,9,6312,3,177,336,5,0,52,0,0,0,32,2,1,13,5,24,1,11,3,0,0,1,1,110,1,14
140,16,12,3,0,0,19,1226,4,44,11,0,1,0,0,0,51,0,0,0,0,0,6,5,17,0,0,0,0,0,1,0
462,92,10,49,1,111,156,5,17766,1227,29,0,176,7,0,0,304,9,12,25,24,57,2,323,67,0,5,3,12,131,1,108
428,273,62,128,0,166,281,1,715,40085,179,0,175,0,0,0,347,5,40,130,18,138,10,135,47,0,1,5,5,52,1,82
74,170,130,27,0,3,17,11,11,236,12193,0,8,0,0,0,34,1,2,2,7,44,0,11,10,0,0,1,1,31,0,19
0,9,0,21,0,0,1,0,1,18,0,1849,1,0,0,0,3,0,0,16,0,163,0,0,0,0,0,0,3,0,1,0
178,58,28,126,1,82,45,0,174,657,14,0,4157,10,0,0,135,39,13,86,20,75,11,4,3,0,0,24,4,141,18,15
5,0,0,0,0,0,0,0,8,5,0,0,17,118,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,5,0,0,0,0,0,6,0,0,1,0,4,0,8,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
2,1,0,0,0,0,0,0,0,632,1,0,0,0,0,16,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
977,154,12,126,0,15,24,152,364,1030,5,0,146,8,11,0,4206,23,30,6,40,173,9,85,37,3,8,14,12,95,52,34
27,20,4,19,0,1,1,0,36,44,1,0,83,1,1,0,43,310,0,3,9,7,0,0,2,0,2,1,9,14,0,0
93,28,0,77,0,1,6,0,41,160,2,0,12,0,0,0,37,11,2183,8,3,54,3,18,262,2,0,0,0,13,10,4
14,61,14,452,7,13,17,0,23,247,6,78,55,0,0,0,24,0,17,11695,4,1054,0,3,10,0,2,0,30,25,1,23
16,55,0,72,0,7,14,0,12,52,7,0,18,0,1,0,11,12,0,3,247,23,5,1,4,1,5,1,8,13,3,1
111,300,15,915,5,10,53,2,55,454,9,139,53,0,0,0,190,0,14,518,7,47873,8,14,13,0,0,0,43,50,2,49
116,1340,0,9,0,0,2,2,9,98,1,0,14,0,0,0,26,0,1,2,4,10,2152,11,1,0,1,0,0,9,45,16
187,90,1,19,0,2,14,8,518,502,8,0,0,0,0,1,103,0,23,3,4,18,11,5466,68,0,1,0,2,8,3,12
380,4,9,23,0,4,6,7,113,164,7,0,7,0,0,0,62,1,82,2,4,5,3,56,6822,0,4,1,0,5,64,2
10,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0,0,0
20,5,0,27,2,0,0,0,9,49,0,0,6,0,0,0,8,3,0,0,4,4,0,1,0,0,216,0,0,5,13,0
23,2,13,10,1,21,1,0,14,60,0,0,35,0,1,0,25,1,0,0,3,0,0,0,0,0,0,215,0,14,0,0
6,27,5,25,0,0,1,0,15,35,2,8,11,0,0,0,7,12,0,61,12,89,1,4,0,0,1,0,820,7,0,3
121,31,17,75,3,10,105,0,128,268,8,0,52,0,0,0,134,10,8,4,14,32,10,10,3,0,1,5,1,4317,3,15
204,3,4,18,0,0,0,0,2,24,0,0,2,0,0,0,48,0,19,0,1,0,22,1,126,0,16,0,0,3,669,0
48,150,12,51,1,16,44,1,127,286,42,2,23,0,0,0,54,3,3,20,5,72,9,10,11,0,0,1,5,18,1,13003
